AniList 标签,分类,成人标签,AniList 定义,优化前译名,建议译名,采用译名,变更类型,状态,问题说明,参考语境,来源
Vampire,Cast-Traits,否,Prominently features a character who is a vampire.,吸血鬼,吸血鬼,吸血鬼,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Vertical Video,Technical,否,"Animated works originally created in a vertical aspect ratio (such as 9:16), intended for viewing on smartphones.",,竖屏动画,竖屏动画,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Veterinarian,Cast-Traits,否,Prominently features a veterinarian or one of the main characters is a veterinarian.,,兽医,兽医,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Video Games,Theme-Game,否,Centers around characters playing video games.,电子游戏,电子游戏,电子游戏,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Vikings,Cast-Traits,否,Prominently features Scandinavian seafaring pirates and warriors.,维京人,维京人,维京人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Villainess,Cast-Traits,否,Centers around or prominently features a villainous noble lady.,恶役千金,恶役千金,恶役千金,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Virginity,Sexual Content,是,Features a male character who has never had sexual relations (until now).,,处男,处男,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Virtual World,Setting-Universe,否,Partly or completely set in the world inside a video game.,虚拟世界,虚拟世界,虚拟世界,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Vocal Synth,Theme-Other,否,"Features one or more singers or characters that are products of a synthesize singing program. Popular examples are Vocaloids, UTAUloids, and CeVIOs.",,歌声合成,歌声合成,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Volleyball,Theme-Game-Sport,否,Centers around the sport of volleyball.,排球,排球,排球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Vore,Sexual Content,是,Features a character being swallowed or swallowing another creature whole.,,吞食,吞食,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Voyeur,Sexual Content,是,Features a character who enjoys seeing the sex acts or sex organs of others.,,窥淫,窥淫,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
VTuber,Cast-Traits,否,Prominently features a character who is either an actual or fictive VTuber.,虚拟主播,虚拟主播,虚拟主播,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
War,Theme-Other,否,Partly or completely set during wartime.,战争,战争,战争,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Watersports,Sexual Content,是,Features sexual situations involving urine.,,尿液玩法,尿液玩法,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Werewolf,Cast-Traits,否,Prominently features a character who is a werewolf.,狼人,狼人,狼人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Wilderness,Setting-Scene,否,"Predominantly features a location with little to no human activity, such as a deserted island, a jungle, or a snowy mountain range.",,荒野,荒野,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Witch,Cast-Traits,否,Prominently features a character who is a witch.,魔女,魔女,魔女,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Work,Setting-Scene,否,Centers around the activities of a certain occupation.,职场,职业题材,职业题材,优化,已采用,由“职场”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Wrestling,Theme-Game-Sport,否,Centers around the sport of wrestling.,摔角,摔角,摔角,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Writing,Theme-Arts,否,Centers around the profession of writing books or novels.,写作,写作,写作,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Wuxia,Theme-Fantasy,否,Chinese fiction concerning the adventures of martial artists in Ancient China.,武侠,武侠,武侠,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Yakuza,Theme-Other-Organisations,否,Centered around Japanese organised crime syndicates.,极道,极道,极道,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Yandere,Cast-Traits,否,"Prominently features a character who is obsessively in love with another, to the point of acting deranged or violent.",病娇,病娇,病娇,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Youkai,Theme-Fantasy,否,Prominently features supernatural creatures from Japanese folklore.,妖怪,妖怪,妖怪,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Yuri,Theme-Romance,否,"Prominently features romance between two females, not inherently sexual. Also known as Girls' Love.",百合,百合,百合,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Zombie,Cast-Traits,否,Prominently features reanimated corpses which often prey on live humans and turn them into zombies.,僵尸,僵尸,僵尸,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Zoophilia,Sexual Content,是,Features a character who has a sexual attraction for non-human animals.,,恋兽癖,恋兽癖,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
